Id;ProductName;CategoryId;CategoryName;AveragePrice
5883;Wino czerwone półsłodkie 94;20;Wino;13.55
5884;Odżywki, maseczki 15;5;Niespożywcze;11.18
5885;Bakalie 89;2;Artykuły spożywcze;4.70
5886;Przetwory z warzyw 963;2;Artykuły spożywcze;5.98
5887;Wermut 14;20;Wino;23.52
5888;Makrela 110;2;Artykuły spożywcze;4.29
5889;Dropsy impulsowe 144;15;Słodycze;2.63
5890;Paluszki, precelki 76;16;Słone przekąski;2.06
5891;Nabiał REG 38;17;Spożywka świeża;6.03
5892;Przyprawy sypkie mix 613;2;Artykuły spożywcze;1.28
5893;Smoothies 17;3;Szybkie przekąski;6.12
5894;Napoje gazowane flavoured do 0,6 L 103;11;Napoje;5.44
5895;Warzywa, owoce, rośliny REG 23;18;Warzywa & Owoce & Rośliny;4.95
5896;Wino czerwone wytrawne 283;20;Wino;21.21
5897;Pozostałe wędliny paczkowane 30;17;Spożywka świeża;4.19
5898;Wódki gatunkowe mainstream do 0,2 L 65;1;Alkohol;8.89
5899;Kiełbasy suche i świeże 236;17;Spożywka świeża;9.99
5900;Soki i nektary do 0,5 L 196;11;Napoje;2.18
5901;Warzywa inne 114;18;Warzywa & Owoce & Rośliny;2.60
5902;Piwo mocne butelka 5;13;Piwo;3.19
5903;Piwo radler puszka 24;13;Piwo;3.56
5904;Fast food paczkowany 29;10;Dania gotowe;4.98
5905;Wino białe słodkie 38;20;Wino;15.45
5906;Chleb gatunkowy długoterminowy 18;12;Pieczywo;3.99
5907;Kasze 249;2;Artykuły spożywcze;5.01
5908;Woda niegazowana smakowa powyżej 1 L 9;11;Napoje;3.29
5909;Kiełbasy suche i świeże 213;17;Spożywka świeża;7.00
5910;Napoje izotoniczne powyżej 0,5 L 64;11;Napoje;1.99
5911;Sery białe kanapkowe 103;17;Spożywka świeża;2.49
5912;Żele pod prysznic, peelingi do ciała 28;5;Niespożywcze;9.92
5913;Orientalne zestawy obiadowe 10;10;Dania gotowe;8.81
5914;Karma dla kota sucha 3;5;Niespożywcze;5.19
5915;Oliwa 24;2;Artykuły spożywcze;17.51
5916;Pieczywo REG 17;12;Pieczywo;0.97
5917;Przekąski za 2 zł 75;16;Słone przekąski;1.68
5918;Makrela 20;2;Artykuły spożywcze;5.11
